jvm,arm,ns_per_event,bytes_per_event,breaches,updates,buffer,rep
oracle25-native,fluxtionStreamClock,13.9800,0.000000,102500000,102500000,11551.2267,1
oracle25-native,fluxtionStreamClock,13.9481,0.000000,102500000,102500000,11551.2267,2
oracle25-native,fluxtionStreamClock,13.9349,0.000000,102500000,102500000,11551.2267,3
oracle25-native,fluxtionStreamClock,13.9916,0.000000,102500000,102500000,11551.2267,4
oracle25-native,fluxtionStreamClock,14.7047,0.000000,102500000,102500000,11551.2267,5
oracle25-native,fluxtionDefault,20.8671,0.000000,102500000,102500000,11551.2267,1
oracle25-native,fluxtionDefault,21.4740,0.000000,102500000,102500000,11551.2267,2
oracle25-native,fluxtionDefault,20.9092,0.000000,102500000,102500000,11551.2267,3
oracle25-native,fluxtionDefault,20.7855,0.000000,102500000,102500000,11551.2267,4
oracle25-native,fluxtionDefault,20.8738,0.000000,102500000,102500000,11551.2267,5
oracle25-native-pgo,plainInline,1.5824,0.000000,102500000,102500000,11551.2267,1
oracle25-native-pgo,plainInline,1.5175,0.000000,102500000,102500000,11551.2267,2
oracle25-native-pgo,plainInline,1.5267,0.000000,102500000,102500000,11551.2267,3
oracle25-native-pgo,plainInline,1.5214,0.000000,102500000,102500000,11551.2267,4
oracle25-native-pgo,plainInline,1.5234,0.000000,102500000,102500000,11551.2267,5
oracle25-native-pgo,plainGuarded,8.9819,0.000000,102500000,102500000,11551.2267,1
oracle25-native-pgo,plainGuarded,8.9826,0.000000,102500000,102500000,11551.2267,2
oracle25-native-pgo,plainGuarded,8.9359,0.000000,102500000,102500000,11551.2267,3
oracle25-native-pgo,plainGuarded,8.9641,0.000000,102500000,102500000,11551.2267,4
oracle25-native-pgo,plainGuarded,8.9268,0.000000,102500000,102500000,11551.2267,5
oracle25-native-pgo,fluxtionStreamClock,9.4461,0.000000,102500000,102500000,11551.2267,1
oracle25-native-pgo,fluxtionStreamClock,9.5040,0.000000,102500000,102500000,11551.2267,2
oracle25-native-pgo,fluxtionStreamClock,9.5793,0.000000,102500000,102500000,11551.2267,3
oracle25-native-pgo,fluxtionStreamClock,9.5770,0.000000,102500000,102500000,11551.2267,4
oracle25-native-pgo,fluxtionStreamClock,9.6882,0.000000,102500000,102500000,11551.2267,5
oracle25-native-pgo,fluxtionDefault,19.4247,0.000000,102500000,102500000,11551.2267,1
oracle25-native-pgo,fluxtionDefault,20.0317,0.000000,102500000,102500000,11551.2267,2
oracle25-native-pgo,fluxtionDefault,20.4277,0.000000,102500000,102500000,11551.2267,3
oracle25-native-pgo,fluxtionDefault,19.7514,0.000000,102500000,102500000,11551.2267,4
oracle25-native-pgo,fluxtionDefault,19.9419,0.000000,102500000,102500000,11551.2267,5
